,gene1,gene2,combined_score
0,ENSG00000133067,ENSG00000243323,1
1,ENSG00000243323,ENSG00000133067,1
2,ENSG00000133067,ENSG00000293457,1
3,ENSG00000293457,ENSG00000133067,1
4,ENSG00000243323,ENSG00000293457,1
5,ENSG00000293457,ENSG00000243323,1
6,ENSG00000137944,ENSG00000213516,1
7,ENSG00000213516,ENSG00000137944,1
8,ENSG00000077549,ENSG00000173436,1
9,ENSG00000173436,ENSG00000077549,1
10,ENSG00000134697,ENSG00000284748,1
11,ENSG00000284748,ENSG00000134697,1
12,ENSG00000159423,ENSG00000169991,1
13,ENSG00000169991,ENSG00000159423,1
14,ENSG00000133063,ENSG00000231507,1
15,ENSG00000231507,ENSG00000133063,1
16,ENSG00000116661,ENSG00000132879,1
17,ENSG00000132879,ENSG00000116661,1
18,ENSG00000116661,ENSG00000116670,1
19,ENSG00000116670,ENSG00000116661,1
20,ENSG00000132879,ENSG00000116670,1
21,ENSG00000116670,ENSG00000132879,1
22,ENSG00000162777,ENSG00000064886,1
23,ENSG00000064886,ENSG00000162777,1
24,ENSG00000154007,ENSG00000225605,1
25,ENSG00000225605,ENSG00000154007,1
26,ENSG00000137944,ENSG00000213516,1
27,ENSG00000213516,ENSG00000137944,1
28,ENSG00000182118,ENSG00000283799,1
29,ENSG00000283799,ENSG00000182118,1
30,ENSG00000182118,ENSG00000227934,1
31,ENSG00000227934,ENSG00000182118,1
32,ENSG00000182118,ENSG00000173409,1
33,ENSG00000173409,ENSG00000182118,1
34,ENSG00000283799,ENSG00000227934,1
35,ENSG00000227934,ENSG00000283799,1
36,ENSG00000283799,ENSG00000173409,1
37,ENSG00000173409,ENSG00000283799,1
38,ENSG00000227934,ENSG00000173409,1
39,ENSG00000173409,ENSG00000227934,1
40,ENSG00000254942,ENSG00000290117,1
41,ENSG00000290117,ENSG00000254942,1
42,ENSG00000254942,ENSG00000065135,1
43,ENSG00000065135,ENSG00000254942,1
44,ENSG00000254942,ENSG00000156097,1
45,ENSG00000156097,ENSG00000254942,1
46,ENSG00000290117,ENSG00000065135,1
47,ENSG00000065135,ENSG00000290117,1
48,ENSG00000290117,ENSG00000156097,1
49,ENSG00000156097,ENSG00000290117,1
50,ENSG00000065135,ENSG00000156097,1
51,ENSG00000156097,ENSG00000065135,1
52,ENSG00000163874,ENSG00000283724,1
53,ENSG00000283724,ENSG00000163874,1
54,ENSG00000163874,ENSG00000163875,1
55,ENSG00000163875,ENSG00000163874,1
56,ENSG00000283724,ENSG00000163875,1
57,ENSG00000163875,ENSG00000283724,1
58,ENSG00000271949,ENSG00000230735,1
59,ENSG00000230735,ENSG00000271949,1
60,ENSG00000271949,ENSG00000171488,1
61,ENSG00000171488,ENSG00000271949,1
62,ENSG00000271949,ENSG00000231999,1
63,ENSG00000231999,ENSG00000271949,1
64,ENSG00000230735,ENSG00000171488,1
65,ENSG00000171488,ENSG00000230735,1
66,ENSG00000230735,ENSG00000231999,1
67,ENSG00000231999,ENSG00000230735,1
68,ENSG00000171488,ENSG00000231999,1
69,ENSG00000231999,ENSG00000171488,1
70,ENSG00000229021,ENSG00000163191,1
71,ENSG00000163191,ENSG00000229021,1
72,ENSG00000143373,ENSG00000143393,1
73,ENSG00000143393,ENSG00000143373,1
74,ENSG00000251943,ENSG00000094975,1
75,ENSG00000094975,ENSG00000251943,1
76,ENSG00000123836,ENSG00000123843,1
77,ENSG00000123843,ENSG00000123836,1
78,ENSG00000117650,ENSG00000231057,1
79,ENSG00000231057,ENSG00000117650,1
80,ENSG00000231207,ENSG00000181773,1
81,ENSG00000181773,ENSG00000231207,1
82,ENSG00000160716,ENSG00000286391,1
83,ENSG00000286391,ENSG00000160716,1
84,ENSG00000162894,ENSG00000162896,1
85,ENSG00000162896,ENSG00000162894,1
86,ENSG00000163874,ENSG00000283724,1
